userId,username,passwordHash,role,email,securityQuestion,securityAnswer,status
U001,admin,8c6976e5b5410415bde908bd4dee15dfb167a9c873fc4bb8a81f6f2ab448a918,ADMIN,admin@bupt.edu.cn,pet,admindog,ACTIVE
U002,prof_wang,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,MO,wang@bupt.edu.cn,city,beijing,ACTIVE
U003,student_li,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,TA,li@bupt.edu.cn,school,bupt,ACTIVE
U004,uuu,224587e618731d345b14d15f00bda01c255c476ed063b6e3b6e4a3bbe516b562,MO,2452365478@qq.com,city,Chongqing,ACTIVE
U005,vt_ta_1777715943256,d3dec3f35387156495cbc21471313f87155f878f3435b693f50077c2be479033,TA,vt_ta_1777715943256@test.com,pet,cat,ACTIVE
U006,vt_mo_1777715943256,d3dec3f35387156495cbc21471313f87155f878f3435b693f50077c2be479033,MO,vt_mo_1777715943256@test.com,pet,cat,ACTIVE
U007,vt_ta_1777715999219,d3dec3f35387156495cbc21471313f87155f878f3435b693f50077c2be479033,TA,vt_ta_1777715999219@test.com,pet,cat,ACTIVE
U008,vt_mo_1777715999219,d3dec3f35387156495cbc21471313f87155f878f3435b693f50077c2be479033,MO,vt_mo_1777715999219@test.com,pet,cat,ACTIVE
U009,vt_ta_1777716395190,d3dec3f35387156495cbc21471313f87155f878f3435b693f50077c2be479033,TA,vt_ta_1777716395190@test.com,pet,cat,ACTIVE
U010,vt_mo_1777716395190,d3dec3f35387156495cbc21471313f87155f878f3435b693f50077c2be479033,MO,vt_mo_1777716395190@test.com,pet,cat,ACTIVE
U011,cvtest_ta_1777718748615,d3dec3f35387156495cbc21471313f87155f878f3435b693f50077c2be479033,TA,cvtest_ta_1777718748615@test.com,pet,cat,ACTIVE
U012,cvtest_ta_1777718945196,d3dec3f35387156495cbc21471313f87155f878f3435b693f50077c2be479033,TA,cvtest_ta_1777718945196@test.com,pet,cat,ACTIVE
U013,cvtest_ta_1777718964368,d3dec3f35387156495cbc21471313f87155f878f3435b693f50077c2be479033,TA,cvtest_ta_1777718964368@test.com,pet,cat,ACTIVE
